GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
taskrestservice,com.assessment.db.entity,TaskEntity,4,36,0,0,0,7,1,8,1,8
taskrestservice,com.assessment.db.entity,TaskEntity.TaskEntityBuilder,27,23,0,0,0,1,2,4,2,4
taskrestservice,com.assessment.resources,TaskResource,10,36,0,2,3,9,2,5,2,4
taskrestservice,com.assessment,TaskRestServiceApplication.new HibernateBundle() {...},11,0,0,0,2,0,2,0,2,0
taskrestservice,com.assessment,TaskRestServiceApplication.new HealthCheck() {...},8,0,0,0,2,0,2,0,2,0
taskrestservice,com.assessment,TaskRestServiceConfiguration,15,0,0,0,5,0,3,0,3,0
taskrestservice,com.assessment,TaskRestServiceApplication,83,0,0,0,17,0,5,0,5,0
taskrestservice,com.assessment.api,Task,100,94,19,11,4,7,17,12,3,11
taskrestservice,com.assessment.api,Task.TaskBuilder,27,23,0,0,0,1,2,4,2,4
taskrestservice,com.assessment.db,TaskDAO,28,0,0,0,7,0,5,0,5,0
taskrestservice,com.assessment.core.service.impl,TaskServiceImpl,71,78,5,3,20,21,7,5,3,5
